"","voting_country","partner","sim_votes","sim_pct"
"24","BN","VN",116,0.753246753246753
"19","BN","MY",110,0.714285714285714
"112","SG","CL",118,0.61139896373057
"16","BN","CL",94,0.61038961038961
"100","PE","CL",112,0.602150537634409
"20","BN","NZ",91,0.590909090909091
"80","MY","NZ",113,0.582474226804124
"115","SG","MY",112,0.580310880829015
"82","MY","SG",112,0.577319587628866
"74","MY","BN",110,0.56701030927835
"22","BN","SG",87,0.564935064935065
"106","PE","SG",104,0.559139784946237
"76","MY","CL",108,0.556701030927835
"84","MY","VN",108,0.556701030927835
"64","MX","CL",106,0.554973821989529
"15","BN","CA",85,0.551948051948052
"18","BN","MX",85,0.551948051948052
"21","BN","PE",85,0.551948051948052
"72","MX","VN",105,0.549738219895288
"117","SG","PE",104,0.538860103626943
"51","JP","CA",52,0.536082474226804
"91","NZ","MY",113,0.535545023696682
"102","PE","MX",99,0.532258064516129
"134","VN","BN",116,0.532110091743119
"75","MY","CA",103,0.530927835051546
"88","NZ","CL",112,0.530805687203792
"116","SG","NZ",102,0.528497409326425
"87","NZ","CA",111,0.5260663507109
"69","MX","PE",99,0.518324607329843
"136","VN","CL",112,0.513761467889908
"108","PE","VN",95,0.510752688172043
"120","SG","VN",98,0.507772020725389
"139","VN","MY",108,0.495412844036697
"104","PE","NZ",91,0.489247311827957
"111","SG","CA",94,0.487046632124352
"94","NZ","SG",102,0.483412322274882
"138","VN","MX",105,0.481651376146789
"56","JP","NZ",46,0.474226804123711
"8","AU","NZ",97,0.473170731707317
"97","PE","AU",88,0.473118279569892
"63","MX","CA",90,0.471204188481675
"68","MX","NZ",89,0.465968586387435
"99","PE","CA",86,0.462365591397849
"103","PE","MY",86,0.462365591397849
"46","CL","SG",118,0.4609375
"85","NZ","AU",97,0.459715639810427
"98","PE","BN",85,0.456989247311828
"57","JP","PE",44,0.45360824742268
"110","SG","BN",87,0.450777202072539
"135","VN","CA",98,0.44954128440367
"142","VN","SG",98,0.44954128440367
"62","MX","BN",85,0.445026178010471
"81","MY","PE",86,0.443298969072165
"32","CA","NZ",111,0.442231075697211
"96","NZ","VN",93,0.440758293838863
"109","SG","AU",85,0.440414507772021
"70","MX","SG",84,0.43979057591623
"44","CL","NZ",112,0.4375
"45","CL","PE",112,0.4375
"48","CL","VN",112,0.4375
"141","VN","PE",95,0.435779816513761
"114","SG","MX",84,0.435233160621762
"13","BN","AU",67,0.435064935064935
"4","AU","CL",89,0.434146341463415
"86","NZ","BN",91,0.431279620853081
"93","NZ","PE",91,0.431279620853081
"28","CA","CL",108,0.430278884462151
"9","AU","PE",88,0.429268292682927
"140","VN","NZ",93,0.426605504587156
"3","AU","CA",87,0.424390243902439
"49","JP","AU",41,0.422680412371134
"39","CL","CA",108,0.421875
"43","CL","MY",108,0.421875
"90","NZ","MX",89,0.421800947867299
"67","MX","MY",80,0.418848167539267
"10","AU","SG",85,0.414634146341463
"42","CL","MX",106,0.4140625
"54","JP","MX",40,0.412371134020619
"78","MY","MX",80,0.412371134020619
"31","CA","MY",103,0.410358565737052
"121","US","AU",63,0.406451612903226
"58","JP","SG",39,0.402061855670103
"36","CA","VN",98,0.390438247011952
"55","JP","MY",37,0.381443298969072
"59","JP","US",37,0.381443298969072
"61","MX","AU",72,0.37696335078534
"34","CA","SG",94,0.374501992031873
"50","JP","BN",36,0.371134020618557
"38","CL","BN",94,0.3671875
"60","JP","VN",35,0.360824742268041
"30","CA","MX",90,0.358565737051793
"6","AU","MX",72,0.351219512195122
"129","US","PE",54,0.348387096774194
"37","CL","AU",89,0.34765625
"25","CA","AU",87,0.346613545816733
"33","CA","PE",86,0.342629482071713
"26","CA","BN",85,0.338645418326693
"73","MY","AU",65,0.335051546391753
"52","JP","CL",32,0.329896907216495
"2","AU","BN",67,0.326829268292683
"126","US","MX",50,0.32258064516129
"12","AU","VN",66,0.321951219512195
"7","AU","MY",65,0.317073170731707
"128","US","NZ",49,0.316129032258064
"130","US","SG",49,0.316129032258064
"11","AU","US",63,0.307317073170732
"133","VN","AU",66,0.302752293577982
"107","PE","US",54,0.290322580645161
"123","US","CA",42,0.270967741935484
"71","MX","US",50,0.261780104712042
"119","SG","US",49,0.253886010362694
"125","US","JP",37,0.238709677419355
"101","PE","JP",44,0.236559139784946
"17","BN","JP",36,0.233766233766234
"95","NZ","US",49,0.232227488151659
"89","NZ","JP",46,0.218009478672986
"65","MX","JP",40,0.209424083769634
"29","CA","JP",52,0.207171314741036
"113","SG","JP",39,0.202072538860104
"5","AU","JP",41,0.2
"77","MY","JP",37,0.190721649484536
"127","US","MY",26,0.167741935483871
"35","CA","US",42,0.167330677290837
"124","US","CL",25,0.161290322580645
"132","US","VN",25,0.161290322580645
"137","VN","JP",35,0.160550458715596
"23","BN","US",21,0.136363636363636
"122","US","BN",21,0.135483870967742
"83","MY","US",26,0.134020618556701
"41","CL","JP",32,0.125
"143","VN","US",25,0.114678899082569
"47","CL","US",25,0.09765625
